DISTRICT,SCHOOL,BEDSCODE,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO,GNUMERATOR_FOSTER_YES,GDENOM_FOSTER_YES,GPERCENT_FOSTER_YES,GNUMERATOR_FOSTER_NO,GDENOM_FOSTER_NO,GPERCENT_FOSTER_NO
Berkeley,TIMBERLAND HIGH,801043,153,192,79.69,75,103,72.82,78,89,87.64,58,83,69.88,92,104,88.46,-1,-1,-1.00,-1,-1,-1.00,,,,135,152,88.82,18,40,45.00,41,42,97.62,105,122,86.07,153,192,79.69,,,,152,190,80.00,-1,-1,-1.00,6,11,54.55,147,181,81.22,,,,153,192,79.69
Berkeley,CANE BAY HIGH,801049,419,469,89.34,216,249,86.75,203,220,92.27,234,268,87.31,127,135,94.07,41,46,89.13,-1,-1,-1.00,12,14,85.71,386,414,93.24,33,55,60.00,231,239,96.65,173,197,87.82,419,469,89.34,,,,396,443,89.39,23,26,88.46,10,12,83.33,409,457,89.50,-1,-1,-1.00,417,467,89.29
Berkeley,BERKELEY COUNTY MIDDLE COLLEGE HIGH,801051,58,58,100.00,16,16,100.00,42,42,100.00,41,41,100.00,14,14,100.00,-1,-1,-1.00,,,,-1,-1,-1.00,57,57,100.00,-1,-1,-1.00,38,38,100.00,19,19,100.00,58,58,100.00,,,,57,57,100.00,-1,-1,-1.00,,,,58,58,100.00,,,,58,58,100.00
Berkeley,PHILIP SIMMONS HIGH,801056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,DISTRICT NO CHARTER,801888,2059,2456,83.84,969,1233,78.59,1090,1223,89.13,1052,1237,85.04,741,891,83.16,168,219,76.71,27,32,84.38,77,86,89.53,1887,2135,88.38,172,321,53.58,1044,1104,94.57,942,1122,83.96,2059,2456,83.84,,,,1947,2303,84.54,112,153,73.20,48,68,70.59,2011,2388,84.21,-1,-1,-1.00,2056,2450,83.92
Berkeley,DISTRICT WITH CHARTER,801999,2059,2456,83.84,969,1233,78.59,1090,1223,89.13,1052,1237,85.04,741,891,83.16,168,219,76.71,27,32,84.38,77,86,89.53,1887,2135,88.38,172,321,53.58,1044,1104,94.57,942,1122,83.96,2059,2456,83.84,,,,1947,2303,84.54,112,153,73.20,48,68,70.59,2011,2388,84.21,-1,-1,-1.00,2056,2450,83.92
Calhoun,CALHOUN COUNTY HIGH,901001,109,122,89.34,55,65,84.62,54,57,94.74,21,25,84.00,81,90,90.00,-1,-1,-1.00,-1,-1,-1.00,,,,101,108,93.52,8,14,57.14,21,21,100.00,86,92,93.48,109,122,89.34,,,,104,117,88.89,-1,-1,-1.00,-1,-1,-1.00,107,120,89.17,,,,109,122,89.34
Calhoun,DISTRICT NO CHARTER,901888,109,122,89.34,55,65,84.62,54,57,94.74,21,25,84.00,81,90,90.00,-1,-1,-1.00,-1,-1,-1.00,,,,101,108,93.52,8,14,57.14,21,21,100.00,86,92,93.48,109,122,89.34,,,,104,117,88.89,-1,-1,-1.00,-1,-1,-1.00,107,120,89.17,,,,109,122,89.34
Calhoun,DISTRICT WITH CHARTER,901999,109,122,89.34,55,65,84.62,54,57,94.74,21,25,84.00,81,90,90.00,-1,-1,-1.00,-1,-1,-1.00,,,,101,108,93.52,8,14,57.14,21,21,100.00,86,92,93.48,109,122,89.34,,,,104,117,88.89,-1,-1,-1.00,-1,-1,-1.00,107,120,89.17,,,,109,122,89.34
Charleston,BAPTIST HILL HIGH,1001001,54,67,80.60,23,33,69.70,31,34,91.18,-1,-1,-1.00,49,62,79.03,-1,-1,-1.00,,,,-1,-1,-1.00,48,52,92.31,6,15,40.00,-1,-1,-1.00,45,54,83.33,53,66,80.30,-1,-1,-1.00,52,65,80.00,-1,-1,-1.00,-1,-1,-1.00,51,64,79.69,,,,54,67,80.60
Charleston,NORTH CHARLESTON HIGH,1001002,77,115,66.96,31,59,52.54,46,56,82.14,-1,-1,-1.00,67,104,64.42,-1,-1,-1.00,,,,-1,-1,-1.00,69,93,74.19,8,22,36.36,-1,-1,-1.00,67,89,75.28,77,115,66.96,,,,70,107,65.42,-1,-1,-1.00,-1,-1,-1.00,73,111,65.77,-1,-1,-1.00,76,114,66.67
Charleston,GARRETT ACADEMY OF TECHNOLOGY,1001008,125,143,87.41,50,59,84.75,75,84,89.29,-1,-1,-1.00,113,129,87.60,10,11,90.91,,,,-1,-1,-1.00,116,131,88.55,9,12,75.00,16,16,100.00,109,118,92.37,125,143,87.41,,,,114,131,87.02,11,12,91.67,-1,-1,-1.00,124,142,87.32,-1,-1,-1.00,124,142,87.32
Charleston,BURKE HIGH,1001010,64,80,80.00,30,36,83.33,34,44,77.27,,,,63,78,80.77,-1,-1,-1.00,,,,-1,-1,-1.00,55,64,85.94,9,16,56.25,-1,-1,-1.00,59,71,83.10,64,80,80.00,,,,63,79,79.75,-1,-1,-1.00,-1,-1,-1.00,61,75,81.33,,,,64,80,80.00
Charleston,WANDO HIGH,1001014,953,1043,91.37,492,550,89.45,461,493,93.51,764,825,92.61,121,147,82.31,36,38,94.74,-1,-1,-1.00,31,32,96.88,903,968,93.29,50,75,66.67,755,786,96.06,195,229,85.15,953,1043,91.37,,,,938,1027,91.33,15,16,93.75,-1,-1,-1.00,949,1036,91.60,,,,953,1043,91.37
Charleston,MILITARY MAGNET ACADEMY,1001018,39,46,84.78,25,30,83.33,14,16,87.50,-1,-1,-1.00,30,35,85.71,-1,-1,-1.00,,,,-1,-1,-1.00,38,43,88.37,-1,-1,-1.00,10,10,100.00,29,35,82.86,39,46,84.78,,,,34,40,85.00,-1,-1,-1.00,,,,39,46,84.78,,,,39,46,84.78
Charleston,ST. JOHNS HIGH,1001020,58,88,65.91,30,52,57.69,28,36,77.78,10,16,62.50,39,52,75.00,9,20,45.00,,,,-1,-1,-1.00,54,79,68.35,-1,-1,-1.00,15,17,88.24,43,51,84.31,58,86,67.44,-1,-1,-1.00,50,70,71.43,8,18,44.44,-1,-1,-1.00,57,86,66.28,,,,58,88,65.91
Charleston,RB STALL HIGH,1001022,224,350,64.00,99,187,52.94,125,163,76.69,33,50,66.00,128,210,60.95,55,82,67.07,,,,20,20,100.00,210,304,69.08,14,46,30.43,57,69,82.61,160,215,74.42,224,350,64.00,,,,177,277,63.90,47,73,64.38,12,19,63.16,212,331,64.05,,,,224,350,64.00
Charleston,CHARLESTON SCHOOL OF THE ARTS,1001098,153,155,98.71,51,51,100.00,102,104,98.08,116,117,99.15,26,27,96.30,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,150,151,99.34,-1,-1,-1.00,131,131,100.00,20,22,90.91,153,155,98.71,,,,148,150,98.67,-1,-1,-1.00,-1,-1,-1.00,152,153,99.35,,,,153,155,98.71
Charleston,ACADEMIC MAGNET HIGH,1001099,162,162,100.00,81,81,100.00,81,81,100.00,137,137,100.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,12,12,100.00,162,162,100.00,,,,151,151,100.00,11,11,100.00,162,162,100.00,,,,162,162,100.00,,,,,,,162,162,100.00,,,,162,162,100.00
Charleston,WEST ASHLEY HIGH,1001104,338,439,76.99,161,224,71.88,177,215,82.33,137,175,78.29,176,229,76.86,12,18,66.67,,,,14,19,73.68,317,388,81.70,21,51,41.18,153,169,90.53,176,223,78.92,338,439,76.99,,,,322,417,77.22,16,22,72.73,-1,-1,-1.00,336,431,77.96,-1,-1,-1.00,338,438,77.17
Charleston,GREG MATHIS CHARTER HIGH,1001615,14,42,33.33,5,19,26.32,9,23,39.13,-1,-1,-1.00,14,40,35.00,,,,,,,,,,12,36,33.33,-1,-1,-1.00,,,,10,26,38.46,14,42,33.33,,,,14,42,33.33,,,,-1,-1,-1.00,13,41,31.71,,,,14,42,33.33
Charleston,JAMES ISLAND CHARTER HIGH,1001616,361,397,90.93,161,186,86.56,200,211,94.79,255,272,93.75,76,92,82.61,18,19,94.74,-1,-1,-1.00,11,12,91.67,349,376,92.82,12,21,57.14,240,244,98.36,121,138,87.68,361,397,90.93,,,,347,382,90.84,14,15,93.33,-1,-1,-1.00,360,396,90.91,-1,-1,-1.00,360,396,90.91
Charleston,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,1001620,61,63,96.83,37,38,97.37,24,25,96.00,21,21,100.00,37,38,97.37,-1,-1,-1.00,,,,-1,-1,-1.00,59,61,96.72,-1,-1,-1.00,31,32,96.88,26,26,100.00,61,63,96.83,,,,58,59,98.31,-1,-1,-1.00,,,,61,63,96.83,,,,61,63,96.83
Charleston,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,1001628,0,5,0.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,,,,,,,,,,,,,-1,-1,-1.00,,,,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,,,,,,,-1,-1,-1.00,,,,-1,-1,-1.00
Charleston,ALLEGRO CHARTER SCHOOL OF MUSIC,1001630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,DISTRICT NO CHARTER,1001888,2247,2691,83.50,1073,1365,78.61,1174,1326,88.54,1206,1333,90.47,818,1080,75.74,145,194,74.74,-1,-1,-1.00,90,102,88.24,2122,2436,87.11,125,255,49.02,1301,1365,95.31,914,1120,81.61,2246,2688,83.56,-1,-1,-1.00,2130,2528,84.26,117,163,71.78,31,51,60.78,2216,2640,83.94,-1,-1,-1.00,2245,2688,83.52
Charleston,DISTRICT WITH CHARTER,1001999,2683,3199,83.87,1276,1612,79.16,1407,1587,88.66,1482,1631,90.86,945,1253,75.42,165,216,76.39,9,10,90.00,103,116,88.79,2542,2910,87.35,141,289,48.79,1572,1641,95.80,1071,1315,81.44,2682,3196,83.92,-1,-1,-1.00,2549,3017,84.49,134,182,73.63,33,53,62.26,2650,3146,84.23,-1,-1,-1.00,2680,3195,83.88
Cherokee,BLACKSBURG HIGH,1101001,120,147,81.63,57,77,74.03,63,70,90.00,98,123,79.67,19,20,95.00,-1,-1,-1.00,,,,-1,-1,-1.00,109,129,84.50,11,18,61.11,50,52,96.15,68,78,87.18,120,147,81.63,,,,118,145,81.38,-1,-1,-1.00,-1,-1,-1.00,116,141,82.27,,,,120,147,81.63
Cherokee,GAFFNEY HIGH,1101003,456,547,83.36,233,284,82.04,223,263,84.79,270,332,81.33,139,164,84.76,38,41,92.68,-1,-1,-1.00,-1,-1,-1.00,428,498,85.94,28,49,57.14,187,195,95.90,262,300,87.33,455,546,83.33,-1,-1,-1.00,421,510,82.55,35,37,94.59,-1,-1,-1.00,451,539,83.67,-1,-1,-1.00,455,546,83.33
Cherokee,DISTRICT NO CHARTER,1101888,576,698,82.52,290,362,80.11,286,336,85.12,368,459,80.17,158,184,85.87,40,44,90.91,-1,-1,-1.00,10,10,100.00,537,627,85.65,39,71,54.93,237,247,95.95,330,381,86.61,575,697,82.50,-1,-1,-1.00,539,659,81.79,37,39,94.87,9,14,64.29,567,684,82.89,-1,-1,-1.00,575,697,82.50
Cherokee,DISTRICT WITH CHARTER,1101999,576,698,82.52,290,362,80.11,286,336,85.12,368,459,80.17,158,184,85.87,40,44,90.91,-1,-1,-1.00,10,10,100.00,537,627,85.65,39,71,54.93,237,247,95.95,330,381,86.61,575,697,82.50,-1,-1,-1.00,539,659,81.79,37,39,94.87,9,14,64.29,567,684,82.89,-1,-1,-1.00,575,697,82.50
Chester,CHESTER SENIOR HIGH,1201002,184,229,80.35,86,116,74.14,98,113,86.73,68,86,79.07,114,139,82.01,-1,-1,-1.00,-1,-1,-1.00,,,,164,194,84.54,20,35,57.14,57,60,95.00,119,141,84.40,184,229,80.35,,,,184,228,80.70,-1,-1,-1.00,-1,-1,-1.00,181,222,81.53,,,,184,229,80.35
Chester,GREAT FALLS HIGH,1201005,35,40,87.50,17,20,85.00,18,20,90.00,25,28,89.29,9,11,81.82,-1,-1,-1.00,,,,,,,34,38,89.47,-1,-1,-1.00,12,13,92.31,23,25,92.00,35,40,87.50,,,,35,40,87.50,,,,-1,-1,-1.00,34,39,87.18,,,,35,40,87.50
Chester,LEWISVILLE HIGH,1201006,82,90,91.11,43,46,93.48,39,44,88.64,50,56,89.29,29,31,93.55,-1,-1,-1.00,,,,-1,-1,-1.00,70,75,93.33,12,15,80.00,40,40,100.00,37,40,92.50,82,90,91.11,,,,80,88,90.91,-1,-1,-1.00,-1,-1,-1.00,79,87,90.80,-1,-1,-1.00,81,89,91.01
Chester,DISTRICT NO CHARTER,1201888,301,359,83.84,146,182,80.22,155,177,87.57,143,170,84.12,152,181,83.98,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,268,307,87.30,33,52,63.46,109,113,96.46,179,206,86.89,301,359,83.84,,,,299,356,83.99,-1,-1,-1.00,7,11,63.64,294,348,84.48,-1,-1,-1.00,300,358,83.80
Chester,DISTRICT WITH CHARTER,1201999,301,359,83.84,146,182,80.22,155,177,87.57,143,170,84.12,152,181,83.98,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,268,307,87.30,33,52,63.46,109,113,96.46,179,206,86.89,301,359,83.84,,,,299,356,83.99,-1,-1,-1.00,7,11,63.64,294,348,84.48,-1,-1,-1.00,300,358,83.80
Chesterfield,CHERAW HIGH,1301001,191,224,85.27,93,110,84.55,98,114,85.96,91,100,91.00,94,118,79.66,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,168,189,88.89,23,35,65.71,62,63,98.41,116,127,91.34,191,224,85.27,,,,189,222,85.14,-1,-1,-1.00,-1,-1,-1.00,191,223,85.65,,,,191,224,85.27
Chesterfield,CHESTERFIELD HIGH,1301002,138,161,85.71,64,78,82.05,74,83,89.16,83,99,83.84,50,57,87.72,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,127,144,88.19,11,17,64.71,59,59,100.00,75,84,89.29,138,161,85.71,,,,136,159,85.53,-1,-1,-1.00,-1,-1,-1.00,137,160,85.63,,,,138,161,85.71
Chesterfield,MCBEE HIGH,1301006,80,96,83.33,40,52,76.92,40,44,90.91,56,67,83.58,19,22,86.36,-1,-1,-1.00,,,,,,,73,87,83.91,-1,-1,-1.00,30,31,96.77,48,54,88.89,80,96,83.33,,,,79,93,84.95,-1,-1,-1.00,,,,80,96,83.33,,,,80,96,83.33
Chesterfield,CENTRAL HIGH,1301007,121,156,77.56,50,77,64.94,71,79,89.87,55,71,77.46,48,64,75.00,16,19,84.21,-1,-1,-1.00,,,,116,145,80.00,5,11,45.45,28,32,87.50,84,94,89.36,121,156,77.56,,,,114,148,77.03,-1,-1,-1.00,,,,121,156,77.56,,,,121,156,77.56
Chesterfield,DISTRICT NO CHARTER,1301888,530,639,82.94,247,319,77.43,283,320,88.44,285,338,84.32,211,262,80.53,26,31,83.87,-1,-1,-1.00,-1,-1,-1.00,484,565,85.66,46,74,62.16,179,185,96.76,323,361,89.47,530,639,82.94,,,,518,624,83.01,12,15,80.00,-1,-1,-1.00,529,637,83.05,,,,530,639,82.94
Chesterfield,DISTRICT WITH CHARTER,1301999,530,639,82.94,247,319,77.43,283,320,88.44,285,338,84.32,211,262,80.53,26,31,83.87,-1,-1,-1.00,-1,-1,-1.00,484,565,85.66,46,74,62.16,179,185,96.76,323,361,89.47,530,639,82.94,,,,518,624,83.01,12,15,80.00,-1,-1,-1.00,529,637,83.05,,,,530,639,82.94
Clarendon 1,SCOTT'S BRANCH HIGH,1401001,41,53,77.36,27,34,79.41,14,19,73.68,-1,-1,-1.00,41,50,82.00,,,,,,,,,,36,44,81.82,-1,-1,-1.00,-1,-1,-1.00,36,44,81.82,41,53,77.36,,,,41,53,77.36,,,,-1,-1,-1.00,39,51,76.47,,,,41,53,77.36
Clarendon 1,DISTRICT NO CHARTER,1401888,41,53,77.36,27,34,79.41,14,19,73.68,-1,-1,-1.00,41,50,82.00,,,,,,,,,,36,44,81.82,-1,-1,-1.00,-1,-1,-1.00,36,44,81.82,41,53,77.36,,,,41,53,77.36,,,,-1,-1,-1.00,39,51,76.47,,,,41,53,77.36
Clarendon 1,DISTRICT WITH CHARTER,1401999,41,53,77.36,27,34,79.41,14,19,73.68,-1,-1,-1.00,41,50,82.00,,,,,,,,,,36,44,81.82,-1,-1,-1.00,-1,-1,-1.00,36,44,81.82,41,53,77.36,,,,41,53,77.36,,,,-1,-1,-1.00,39,51,76.47,,,,41,53,77.36
Clarendon 2,MANNING HIGH,1402007,167,209,79.90,70,101,69.31,97,108,89.81,38,52,73.08,121,146,82.88,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,150,175,85.71,17,34,50.00,38,38,100.00,128,157,81.53,167,209,79.90,,,,162,203,79.80,-1,-1,-1.00,-1,-1,-1.00,163,203,80.30,-1,-1,-1.00,167,207,80.68
Clarendon 2,PHOENIX CHARTER HIGH,1402610,8,16,50.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,7,11,63.64,,,,,,,,,,7,11,63.64,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,8,16,50.00,,,,8,16,50.00,,,,,,,8,16,50.00,,,,8,16,50.00
Clarendon 2,DISTRICT NO CHARTER,1402888,167,209,79.90,70,101,69.31,97,108,89.81,38,52,73.08,121,146,82.88,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,150,175,85.71,17,34,50.00,38,38,100.00,128,157,81.53,167,209,79.90,,,,162,203,79.80,-1,-1,-1.00,-1,-1,-1.00,163,203,80.30,-1,-1,-1.00,167,207,80.68
Clarendon 2,DISTRICT WITH CHARTER,1402999,175,225,77.78,74,110,67.27,101,115,87.83,39,57,68.42,128,157,81.53,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,157,186,84.41,18,39,46.15,40,40,100.00,133,163,81.60,175,225,77.78,,,,170,219,77.63,-1,-1,-1.00,-1,-1,-1.00,171,219,78.08,-1,-1,-1.00,175,223,78.48
Clarendon 3,EAST CLARENDON MIDDLE-HIGH,1403016,84,95,88.42,37,43,86.05,47,52,90.38,63,70,90.00,16,19,84.21,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,81,86,94.19,-1,-1,-1.00,45,45,100.00,39,45,86.67,83,94,88.30,-1,-1,-1.00,82,93,88.17,-1,-1,-1.00,-1,-1,-1.00,83,94,88.30,-1,-1,-1.00,83,94,88.30
Clarendon 3,DISTRICT NO CHARTER,1403888,84,95,88.42,37,43,86.05,47,52,90.38,63,70,90.00,16,19,84.21,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,81,86,94.19,-1,-1,-1.00,45,45,100.00,39,45,86.67,83,94,88.30,-1,-1,-1.00,82,93,88.17,-1,-1,-1.00,-1,-1,-1.00,83,94,88.30,-1,-1,-1.00,83,94,88.30
Clarendon 3,DISTRICT WITH CHARTER,1403999,84,95,88.42,37,43,86.05,47,52,90.38,63,70,90.00,16,19,84.21,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,81,86,94.19,-1,-1,-1.00,45,45,100.00,39,45,86.67,83,94,88.30,-1,-1,-1.00,82,93,88.17,-1,-1,-1.00,-1,-1,-1.00,83,94,88.30,-1,-1,-1.00,83,94,88.30
Colleton,COLLETON COUNTY HIGH,1501005,373,439,84.97,183,226,80.97,190,213,89.20,173,211,81.99,185,209,88.52,11,13,84.62,-1,-1,-1.00,-1,-1,-1.00,345,383,90.08,28,56,50.00,113,116,97.41,247,272,90.81,372,438,84.93,-1,-1,-1.00,360,426,84.51,13,13,100.00,13,15,86.67,360,424,84.91,,,,373,439,84.97
Colleton,DISTRICT NO CHARTER,1501888,373,439,84.97,183,226,80.97,190,213,89.20,173,211,81.99,185,209,88.52,11,13,84.62,-1,-1,-1.00,-1,-1,-1.00,345,383,90.08,28,56,50.00,113,116,97.41,247,272,90.81,372,438,84.93,-1,-1,-1.00,360,426,84.51,13,13,100.00,13,15,86.67,360,424,84.91,,,,373,439,84.97
Colleton,DISTRICT WITH CHARTER,1501999,373,439,84.97,183,226,80.97,190,213,89.20,173,211,81.99,185,209,88.52,11,13,84.62,-1,-1,-1.00,-1,-1,-1.00,345,383,90.08,28,56,50.00,113,116,97.41,247,272,90.81,372,438,84.93,-1,-1,-1.00,360,426,84.51,13,13,100.00,13,15,86.67,360,424,84.91,,,,373,439,84.97
Darlington,HARTSVILLE HIGH,1601005,240,266,90.23,107,127,84.25,133,139,95.68,134,140,95.71,94,113,83.19,10,11,90.91,-1,-1,-1.00,-1,-1,-1.00,221,234,94.44,19,32,59.38,94,96,97.92,139,160,86.88,240,266,90.23,,,,236,261,90.42,-1,-1,-1.00,-1,-1,-1.00,237,263,90.11,,,,240,266,90.23
Darlington,LAMAR HIGH,1601006,53,53,100.00,34,34,100.00,19,19,100.00,16,16,100.00,35,35,100.00,-1,-1,-1.00,,,,-1,-1,-1.00,49,49,100.00,-1,-1,-1.00,-1,-1,-1.00,43,43,100.00,53,53,100.00,,,,51,51,100.00,-1,-1,-1.00,-1,-1,-1.00,52,52,100.00,,,,53,53,100.00
Darlington,DARLINGTON HIGH,1601030,236,295,80.00,108,148,72.97,128,147,87.07,81,101,80.20,152,190,80.00,-1,-1,-1.00,-1,-1,-1.00,,,,223,258,86.43,13,37,35.14,62,68,91.18,172,195,88.21,236,295,80.00,,,,236,295,80.00,,,,-1,-1,-1.00,230,287,80.14,-1,-1,-1.00,234,293,79.86
Darlington,"MAYO HIGH FOR MATH, SCIENCE, & TECHNOLOGY",1601033,75,76,98.68,36,36,100.00,39,40,97.50,45,45,100.00,23,24,95.83,-1,-1,-1.00,,,,-1,-1,-1.00,74,74,100.00,-1,-1,-1.00,45,45,100.00,30,30,100.00,75,76,98.68,,,,74,75,98.67,-1,-1,-1.00,-1,-1,-1.00,73,73,100.00,,,,75,76,98.68
Darlington,DISTRICT NO CHARTER,1601888,604,690,87.54,285,345,82.61,319,345,92.46,276,302,91.39,304,362,83.98,18,20,90.00,-1,-1,-1.00,-1,-1,-1.00,567,615,92.20,37,75,49.33,208,216,96.30,384,428,89.72,604,690,87.54,,,,597,682,87.54,-1,-1,-1.00,12,15,80.00,592,675,87.70,-1,-1,-1.00,602,688,87.50
Darlington,DISTRICT WITH CHARTER,1601999,604,690,87.54,285,345,82.61,319,345,92.46,276,302,91.39,304,362,83.98,18,20,90.00,-1,-1,-1.00,-1,-1,-1.00,567,615,92.20,37,75,49.33,208,216,96.30,384,428,89.72,604,690,87.54,,,,597,682,87.54,-1,-1,-1.00,12,15,80.00,592,675,87.70,-1,-1,-1.00,602,688,87.50
Dillon 3,LATTA HIGH,1703019,117,132,88.64,48,59,81.36,69,73,94.52,81,87,93.10,31,40,77.50,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,108,121,89.26,9,11,81.82,53,53,100.00,63,70,90.00,117,132,88.64,,,,117,132,88.64,,,,,,,117,132,88.64,,,,117,132,88.64
Dillon 3,DISTRICT NO CHARTER,1703888,117,133,87.97,48,60,80.00,69,73,94.52,81,88,92.05,31,40,77.50,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,108,121,89.26,9,12,75.00,53,53,100.00,63,71,88.73,117,133,87.97,,,,117,133,87.97,,,,,,,117,133,87.97,,,,117,133,87.97
Dillon 3,DISTRICT WITH CHARTER,1703999,117,133,87.97,48,60,80.00,69,73,94.52,81,88,92.05,31,40,77.50,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,108,121,89.26,9,12,75.00,53,53,100.00,63,71,88.73,117,133,87.97,,,,117,133,87.97,,,,,,,117,133,87.97,,,,117,133,87.97
Dillon 4,LAKE VIEW HIGH,1704002,49,57,85.96,21,26,80.77,28,31,90.32,19,21,90.48,26,31,83.87,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,44,49,89.80,-1,-1,-1.00,15,16,93.75,34,37,91.89,49,57,85.96,,,,48,55,87.27,-1,-1,-1.00,-1,-1,-1.00,45,53,84.91,-1,-1,-1.00,48,56,85.71
Dillon 4,DILLON HIGH,1704005,194,225,86.22,89,109,81.65,105,116,90.52,46,56,82.14,132,148,89.19,9,11,81.82,-1,-1,-1.00,-1,-1,-1.00,185,206,89.81,9,19,47.37,40,41,97.56,148,157,94.27,194,225,86.22,,,,184,215,85.58,10,10,100.00,-1,-1,-1.00,194,224,86.61,-1,-1,-1.00,193,223,86.55
Dillon 4,DISTRICT NO CHARTER,1704888,243,282,86.17,110,135,81.48,133,147,90.48,65,77,84.42,158,179,88.27,11,14,78.57,7,10,70.00,-1,-1,-1.00,229,255,89.80,14,27,51.85,55,57,96.49,182,194,93.81,243,282,86.17,,,,232,270,85.93,11,12,91.67,-1,-1,-1.00,239,277,86.28,-1,-1,-1.00,241,279,86.38
Dillon 4,DISTRICT WITH CHARTER,1704999,243,282,86.17,110,135,81.48,133,147,90.48,65,77,84.42,158,179,88.27,11,14,78.57,7,10,70.00,-1,-1,-1.00,229,255,89.80,14,27,51.85,55,57,96.49,182,194,93.81,243,282,86.17,,,,232,270,85.93,11,12,91.67,-1,-1,-1.00,239,277,86.28,-1,-1,-1.00,241,279,86.38
Dorchester 2,SUMMERVILLE HIGH,1802006,644,744,86.56,299,362,82.60,345,382,90.31,396,447,88.59,193,235,82.13,31,37,83.78,-1,-1,-1.00,21,21,100.00,601,673,89.30,43,71,60.56,360,376,95.74,270,307,87.95,644,744,86.56,,,,630,728,86.54,14,16,87.50,7,12,58.33,637,732,87.02,-1,-1,-1.00,642,741,86.64
Dorchester 2,FORT DORCHESTER HIGH,1802020,511,577,88.56,247,294,84.01,264,283,93.29,191,215,88.84,247,283,87.28,43,46,93.48,-1,-1,-1.00,28,30,93.33,480,524,91.60,31,53,58.49,277,289,95.85,226,259,87.26,511,577,88.56,,,,479,543,88.21,32,34,94.12,-1,-1,-1.00,509,572,88.99,-1,-1,-1.00,510,575,88.70
Dorchester 2,ASHLEY RIDGE HIGH,1802027,516,557,92.64,233,265,87.92,283,292,96.92,349,372,93.82,124,139,89.21,16,19,84.21,-1,-1,-1.00,26,26,100.00,489,517,94.58,27,40,67.50,329,332,99.10,178,198,89.90,516,557,92.64,,,,508,548,92.70,-1,-1,-1.00,-1,-1,-1.00,510,549,92.90,,,,516,557,92.64
