DISTRICT,SCHOOL,BEDSCODE,H,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO
CALHOUN,DISTRICT WITH CHARTER,901999,,91,101,90.10,41,48,85.42,50,53,94.34,16,19,84.21,70,77,90.91,-1,-1,-1.00,,,,,,,84,87,96.55,7,14,50.00,24,25,96.00,65,72,90.28,91,101,90.10,,,,89,99,89.90,-1,-1,-1.00,-1,-1,-1.00,90,100,90.00
CHARLESTON,BAPTIST HILL HIGH,1001001,H,46,56,82.14,17,22,77.27,29,34,85.29,-1,-1,-1.00,40,47,85.11,-1,-1,-1.00,,,,,,,42,50,84.00,-1,-1,-1.00,12,12,100.00,32,35,91.43,46,56,82.14,,,,43,53,81.13,-1,-1,-1.00,-1,-1,-1.00,46,54,85.19
CHARLESTON,NORTH CHARLESTON HIGH,1001002,H,65,109,59.63,28,58,48.28,37,51,72.55,-1,-1,-1.00,51,90,56.67,10,12,83.33,,,,-1,-1,-1.00,59,86,68.60,6,23,26.09,13,17,76.47,47,69,68.12,65,109,59.63,,,,59,101,58.42,-1,-1,-1.00,-1,-1,-1.00,62,101,61.39
CHARLESTON,GARRETT ACADEMY OF TECHNOLOGY,1001008,H,135,161,83.85,47,62,75.81,88,99,88.89,-1,-1,-1.00,129,154,83.77,-1,-1,-1.00,,,,,,,124,144,86.11,11,17,64.71,14,16,87.50,120,134,89.55,135,161,83.85,,,,133,158,84.18,-1,-1,-1.00,-1,-1,-1.00,133,159,83.65
CHARLESTON,BURKE HIGH,1001010,H,64,82,78.05,25,35,71.43,39,47,82.98,,,,63,80,78.75,-1,-1,-1.00,,,,,,,63,73,86.30,-1,-1,-1.00,-1,-1,-1.00,54,67,80.60,64,82,78.05,,,,64,81,79.01,-1,-1,-1.00,-1,-1,-1.00,61,77,79.22
CHARLESTON,WANDO HIGH,1001014,H,942,1023,92.08,478,535,89.35,464,488,95.08,799,850,94.00,96,119,80.67,28,32,87.50,-1,-1,-1.00,14,17,82.35,872,926,94.17,70,97,72.16,777,796,97.61,158,193,81.87,942,1023,92.08,,,,931,1010,92.18,11,13,84.62,-1,-1,-1.00,940,1020,92.16
CHARLESTON,MILITARY MAGNET ACADEMY,1001018,H,35,40,87.50,16,19,84.21,19,21,90.48,-1,-1,-1.00,31,36,86.11,-1,-1,-1.00,,,,,,,33,37,89.19,-1,-1,-1.00,11,12,91.67,23,25,92.00,35,40,87.50,,,,33,38,86.84,-1,-1,-1.00,,,,35,40,87.50
CHARLESTON,ST. JOHNS HIGH,1001020,H,57,72,79.17,24,34,70.59,33,38,86.84,-1,-1,-1.00,41,48,85.42,11,16,68.75,,,,-1,-1,-1.00,56,69,81.16,-1,-1,-1.00,10,11,90.91,44,48,91.67,57,72,79.17,,,,50,62,80.65,7,10,70.00,-1,-1,-1.00,57,71,80.28
CHARLESTON,R. B. STALL HIGH,1001022,H,208,326,63.80,101,179,56.42,107,147,72.79,22,39,56.41,128,190,67.37,56,93,60.22,-1,-1,-1.00,-1,-1,-1.00,201,294,68.37,7,32,21.88,65,87,74.71,140,194,72.16,208,326,63.80,,,,169,249,67.87,39,77,50.65,6,10,60.00,202,316,63.92
CHARLESTON,CHARLESTON SCHOOL OF THE ARTS,1001098,H,151,152,99.34,53,54,98.15,98,98,100.00,126,126,100.00,15,16,93.75,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,147,147,100.00,-1,-1,-1.00,131,131,100.00,19,20,95.00,151,152,99.34,,,,148,149,99.33,-1,-1,-1.00,-1,-1,-1.00,151,151,100.00
CHARLESTON,ACADEMIC MAGNET HIGH,1001099,H,144,144,100.00,63,63,100.00,81,81,100.00,122,122,100.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,10,10,100.00,142,142,100.00,-1,-1,-1.00,134,134,100.00,10,10,100.00,144,144,100.00,,,,144,144,100.00,,,,,,,144,144,100.00
CHARLESTON,WEST ASHLEY HIGH,1001104,H,325,412,78.88,143,196,72.96,182,216,84.26,147,179,82.12,149,196,76.02,21,26,80.77,-1,-1,-1.00,8,10,80.00,315,381,82.68,10,31,32.26,161,176,91.48,155,190,81.58,325,412,78.88,,,,313,395,79.24,12,17,70.59,-1,-1,-1.00,321,405,79.26
CHARLESTON,GREG MATHIS CHARTER HIGH,1001615,H,8,47,17.02,3,26,11.54,5,21,23.81,-1,-1,-1.00,7,46,15.22,,,,,,,,,,7,42,16.67,-1,-1,-1.00,,,,4,33,12.12,8,47,17.02,,,,8,47,17.02,,,,-1,-1,-1.00,8,44,18.18
CHARLESTON,JAMES ISLAND CHARTER HIGH,1001616,H,383,414,92.51,177,198,89.39,206,215,95.81,242,256,94.53,114,130,87.69,14,15,93.33,-1,-1,-1.00,12,12,100.00,374,390,95.90,9,24,37.50,247,251,98.41,136,152,89.47,383,414,92.51,,,,377,407,92.63,-1,-1,-1.00,-1,-1,-1.00,381,411,92.70
CHARLESTON,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,1001620,H,69,73,94.52,33,36,91.67,36,37,97.30,39,40,97.50,27,29,93.10,-1,-1,-1.00,,,,-1,-1,-1.00,66,69,95.65,-1,-1,-1.00,45,45,100.00,22,23,95.65,69,73,94.52,,,,68,72,94.44,-1,-1,-1.00,,,,69,73,94.52
CHARLESTON,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,1001628,H,0,4,0.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,,,,,,,,,,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,,,,,,,-1,-1,-1.00
CHARLESTON,ALLEGRO CHARTER SCHOOL OF MUSIC,1001630,H,0,1,0.00,,,,-1,-1,-1.00,,,,-1,-1,-1.00,,,,,,,,,,-1,-1,-1.00,,,,,,,,,,-1,-1,-1.00,,,,-1,-1,-1.00,,,,,,,-1,-1,-1.00
CHARLESTON,DISTRICT NO CHARTER,1001888,,2172,2580,84.19,995,1259,79.03,1177,1321,89.10,1228,1337,91.85,745,980,76.02,148,203,72.91,12,14,85.71,39,45,86.67,2054,2351,87.37,118,229,51.53,1333,1398,95.35,802,986,81.34,2172,2580,84.19,,,,2087,2443,85.43,85,137,62.04,20,39,51.28,2152,2541,84.69
CHARLESTON,DISTRICT WITH CHARTER,1001999,,2632,3119,84.39,1208,1522,79.37,1424,1596,89.22,1510,1636,92.30,893,1188,75.17,164,220,74.55,13,15,86.67,52,59,88.14,2501,2854,87.63,131,265,49.43,1625,1694,95.93,964,1196,80.60,2632,3119,84.39,,,,2540,2974,85.41,92,145,63.45,22,45,48.89,2610,3074,84.91
CHEROKEE,BLACKSBURG HIGH,1101001,H,115,129,89.15,62,72,86.11,53,57,92.98,94,107,87.85,16,16,100.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,103,116,88.79,12,13,92.31,47,48,97.92,66,67,98.51,115,129,89.15,,,,114,128,89.06,-1,-1,-1.00,-1,-1,-1.00,113,125,90.40
CHEROKEE,GAFFNEY HIGH,1101003,H,423,511,82.78,208,253,82.21,215,258,83.33,257,312,82.37,128,157,81.53,32,36,88.89,-1,-1,-1.00,-1,-1,-1.00,387,459,84.31,36,52,69.23,195,197,98.98,223,244,91.39,422,508,83.07,-1,-1,-1.00,397,484,82.02,26,27,96.30,-1,-1,-1.00,421,507,83.04
CHEROKEE,DISTRICT NO CHARTER,1101888,,538,640,84.06,270,325,83.08,268,315,85.08,351,419,83.77,144,173,83.24,34,38,89.47,-1,-1,-1.00,-1,-1,-1.00,490,575,85.22,48,65,73.85,242,245,98.78,289,311,92.93,537,637,84.30,-1,-1,-1.00,511,612,83.50,27,28,96.43,-1,-1,-1.00,534,632,84.49
CHEROKEE,DISTRICT WITH CHARTER,1101999,,538,640,84.06,270,325,83.08,268,315,85.08,351,419,83.77,144,173,83.24,34,38,89.47,-1,-1,-1.00,-1,-1,-1.00,490,575,85.22,48,65,73.85,242,245,98.78,289,311,92.93,537,637,84.30,-1,-1,-1.00,511,612,83.50,27,28,96.43,-1,-1,-1.00,534,632,84.49
CHESTER,CHESTER SENIOR HIGH,1201002,H,161,193,83.42,81,101,80.20,80,92,86.96,68,84,80.95,87,103,84.47,-1,-1,-1.00,,,,-1,-1,-1.00,147,169,86.98,14,24,58.33,48,48,100.00,108,121,89.26,161,193,83.42,,,,160,192,83.33,-1,-1,-1.00,-1,-1,-1.00,160,192,83.33
CHESTER,GREAT FALLS HIGH,1201005,H,49,63,77.78,22,33,66.67,27,30,90.00,31,41,75.61,18,22,81.82,,,,,,,,,,46,56,82.14,-1,-1,-1.00,19,19,100.00,28,34,82.35,49,63,77.78,,,,47,61,77.05,-1,-1,-1.00,-1,-1,-1.00,46,59,77.97
CHESTER,LEWISVILLE HIGH,1201006,H,98,103,95.15,53,56,94.64,45,47,95.74,59,64,92.19,32,32,100.00,-1,-1,-1.00,,,,-1,-1,-1.00,89,93,95.70,9,10,90.00,48,50,96.00,46,48,95.83,98,103,95.15,,,,94,99,94.95,-1,-1,-1.00,,,,98,103,95.15
CHESTER,DISTRICT NO CHARTER,1201888,,308,359,85.79,156,190,82.11,152,169,89.94,158,189,83.60,137,157,87.26,-1,-1,-1.00,,,,-1,-1,-1.00,282,318,88.68,26,41,63.41,115,117,98.29,182,203,89.66,308,359,85.79,,,,301,352,85.51,-1,-1,-1.00,-1,-1,-1.00,304,354,85.88
CHESTER,DISTRICT WITH CHARTER,1201999,,308,359,85.79,156,190,82.11,152,169,89.94,158,189,83.60,137,157,87.26,-1,-1,-1.00,,,,-1,-1,-1.00,282,318,88.68,26,41,63.41,115,117,98.29,182,203,89.66,308,359,85.79,,,,301,352,85.51,-1,-1,-1.00,-1,-1,-1.00,304,354,85.88
CHESTERFIELD,CHERAW HIGH,1301001,H,154,174,88.51,63,73,86.30,91,101,90.10,70,77,90.91,79,92,85.87,-1,-1,-1.00,,,,-1,-1,-1.00,141,158,89.24,13,16,81.25,64,64,100.00,85,87,97.70,154,174,88.51,,,,153,173,88.44,-1,-1,-1.00,-1,-1,-1.00,153,173,88.44
CHESTERFIELD,CHESTERFIELD HIGH,1301002,H,107,112,95.54,54,57,94.74,53,55,96.36,76,78,97.44,30,33,90.91,,,,,,,-1,-1,-1.00,103,107,96.26,-1,-1,-1.00,43,43,100.00,55,57,96.49,107,112,95.54,,,,107,112,95.54,,,,,,,107,112,95.54
CHESTERFIELD,MCBEE HIGH,1301006,H,61,69,88.41,39,45,86.67,22,24,91.67,41,48,85.42,16,16,100.00,-1,-1,-1.00,,,,,,,57,64,89.06,-1,-1,-1.00,31,32,96.88,30,32,93.75,61,69,88.41,,,,58,65,89.23,-1,-1,-1.00,,,,61,69,88.41
CHESTERFIELD,CENTRAL HIGH,1301007,H,27,32,84.38,15,17,88.24,12,15,80.00,10,11,90.91,15,19,78.95,-1,-1,-1.00,,,,,,,25,28,89.29,-1,-1,-1.00,-1,-1,-1.00,18,20,90.00,27,32,84.38,,,,27,32,84.38,,,,,,,27,32,84.38
CHESTERFIELD,DISTRICT NO CHARTER,1301888,,349,387,90.18,171,192,89.06,178,195,91.28,197,214,92.06,140,160,87.50,-1,-1,-1.00,,,,-1,-1,-1.00,326,357,91.32,23,30,76.67,147,148,99.32,188,196,95.92,349,387,90.18,,,,345,382,90.31,-1,-1,-1.00,-1,-1,-1.00,348,386,90.16
CHESTERFIELD,DISTRICT WITH CHARTER,1301999,,349,387,90.18,171,192,89.06,178,195,91.28,197,214,92.06,140,160,87.50,-1,-1,-1.00,,,,-1,-1,-1.00,326,357,91.32,23,30,76.67,147,148,99.32,188,196,95.92,349,387,90.18,,,,345,382,90.31,-1,-1,-1.00,-1,-1,-1.00,348,386,90.16
CLARENDON 1,SCOTT'S BRANCH HIGH,1401001,H,42,51,82.35,20,25,80.00,22,26,84.62,-1,-1,-1.00,41,47,87.23,-1,-1,-1.00,,,,,,,42,47,89.36,-1,-1,-1.00,-1,-1,-1.00,34,41,82.93,42,51,82.35,,,,41,50,82.00,-1,-1,-1.00,-1,-1,-1.00,38,47,80.85
CLARENDON 1,DISTRICT NO CHARTER,1401888,,42,51,82.35,20,25,80.00,22,26,84.62,-1,-1,-1.00,41,47,87.23,-1,-1,-1.00,,,,,,,42,47,89.36,-1,-1,-1.00,-1,-1,-1.00,34,41,82.93,42,51,82.35,,,,41,50,82.00,-1,-1,-1.00,-1,-1,-1.00,38,47,80.85
CLARENDON 1,DISTRICT WITH CHARTER,1401999,,42,51,82.35,20,25,80.00,22,26,84.62,-1,-1,-1.00,41,47,87.23,-1,-1,-1.00,,,,,,,42,47,89.36,-1,-1,-1.00,-1,-1,-1.00,34,41,82.93,42,51,82.35,,,,41,50,82.00,-1,-1,-1.00,-1,-1,-1.00,38,47,80.85
CLARENDON 2,MANNING HIGH,1402007,H,166,209,79.43,90,117,76.92,76,92,82.61,34,44,77.27,126,155,81.29,-1,-1,-1.00,-1,-1,-1.00,,,,154,184,83.70,12,25,48.00,35,35,100.00,131,153,85.62,166,208,79.81,-1,-1,-1.00,164,204,80.39,-1,-1,-1.00,-1,-1,-1.00,164,206,79.61
CLARENDON 2,PHOENIX CHARTER HIGH,1402610,H,3,11,27.27,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,,,,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,3,11,27.27,,,,3,11,27.27,,,,,,,3,11,27.27
CLARENDON 2,DISTRICT NO CHARTER,1402888,,166,210,79.05,90,118,76.27,76,92,82.61,34,45,75.56,126,155,81.29,-1,-1,-1.00,-1,-1,-1.00,,,,154,184,83.70,12,26,46.15,35,35,100.00,131,154,85.06,166,209,79.43,-1,-1,-1.00,164,205,80.00,-1,-1,-1.00,-1,-1,-1.00,164,207,79.23
CLARENDON 2,DISTRICT WITH CHARTER,1402999,,169,221,76.47,92,126,73.02,77,95,81.05,34,49,69.39,129,161,80.12,-1,-1,-1.00,-1,-1,-1.00,,,,156,193,80.83,13,28,46.43,35,35,100.00,133,159,83.65,169,220,76.82,-1,-1,-1.00,167,216,77.31,-1,-1,-1.00,-1,-1,-1.00,167,218,76.61
CLARENDON 3,EAST CLARENDON MIDDLE-HIGH,1403016,H,85,93,91.40,42,49,85.71,43,44,97.73,56,60,93.33,20,23,86.96,-1,-1,-1.00,,,,,,,79,84,94.05,-1,-1,-1.00,38,39,97.44,44,47,93.62,84,92,91.30,-1,-1,-1.00,82,89,92.13,-1,-1,-1.00,,,,85,93,91.40
CLARENDON 3,DISTRICT NO CHARTER,1403888,,85,93,91.40,42,49,85.71,43,44,97.73,56,60,93.33,20,23,86.96,-1,-1,-1.00,,,,,,,79,84,94.05,-1,-1,-1.00,38,39,97.44,44,47,93.62,84,92,91.30,-1,-1,-1.00,82,89,92.13,-1,-1,-1.00,,,,85,93,91.40
CLARENDON 3,DISTRICT WITH CHARTER,1403999,,85,93,91.40,42,49,85.71,43,44,97.73,56,60,93.33,20,23,86.96,-1,-1,-1.00,,,,,,,79,84,94.05,-1,-1,-1.00,38,39,97.44,44,47,93.62,84,92,91.30,-1,-1,-1.00,82,89,92.13,-1,-1,-1.00,,,,85,93,91.40
COLLETON,COLLETON COUNTY HIGH,1501005,H,315,364,86.54,148,176,84.09,167,188,88.83,145,170,85.29,158,180,87.78,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,290,321,90.34,25,43,58.14,97,98,98.98,207,222,93.24,315,364,86.54,,,,305,353,86.40,10,11,90.91,9,10,90.00,306,354,86.44
COLLETON,DISTRICT NO CHARTER,1501888,,315,364,86.54,148,176,84.09,167,188,88.83,145,170,85.29,158,180,87.78,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,290,321,90.34,25,43,58.14,97,98,98.98,207,222,93.24,315,364,86.54,,,,305,353,86.40,10,11,90.91,9,10,90.00,306,354,86.44
COLLETON,DISTRICT WITH CHARTER,1501999,,315,364,86.54,148,176,84.09,167,188,88.83,145,170,85.29,158,180,87.78,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,290,321,90.34,25,43,58.14,97,98,98.98,207,222,93.24,315,364,86.54,,,,305,353,86.40,10,11,90.91,9,10,90.00,306,354,86.44
DARLINGTON,HARTSVILLE HIGH,1601005,H,227,243,93.42,117,126,92.86,110,117,94.02,130,134,97.01,88,99,88.89,9,10,90.00,,,,,,,198,206,96.12,29,37,78.38,108,110,98.18,114,122,93.44,227,243,93.42,,,,220,236,93.22,-1,-1,-1.00,-1,-1,-1.00,224,239,93.72
DARLINGTON,LAMAR HIGH,1601006,H,61,61,100.00,33,33,100.00,28,28,100.00,19,19,100.00,40,40,100.00,-1,-1,-1.00,,,,,,,59,59,100.00,-1,-1,-1.00,19,19,100.00,42,42,100.00,61,61,100.00,,,,60,60,100.00,-1,-1,-1.00,-1,-1,-1.00,59,59,100.00
DARLINGTON,DARLINGTON HIGH,1601030,H,230,297,77.44,115,156,73.72,115,141,81.56,68,91,74.73,159,202,78.71,-1,-1,-1.00,,,,,,,200,247,80.97,30,50,60.00,65,70,92.86,165,190,86.84,230,297,77.44,,,,228,295,77.29,-1,-1,-1.00,6,10,60.00,224,287,78.05
DARLINGTON,MAYO HIGH SCHOOL FOR MATH SCIENCE & TECHNOLOGY,1601033,H,91,91,100.00,33,33,100.00,58,58,100.00,45,45,100.00,40,40,100.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,87,87,100.00,-1,-1,-1.00,48,48,100.00,43,43,100.00,91,91,100.00,,,,90,90,100.00,-1,-1,-1.00,,,,91,91,100.00
DARLINGTON,DISTRICT NO CHARTER,1601888,,609,692,88.01,298,348,85.63,311,344,90.41,262,289,90.66,327,381,85.83,18,20,90.00,-1,-1,-1.00,-1,-1,-1.00,544,599,90.82,65,93,69.89,240,247,97.17,364,397,91.69,609,692,88.01,,,,598,681,87.81,11,11,100.00,11,16,68.75,598,676,88.46
DARLINGTON,DISTRICT WITH CHARTER,1601999,,609,692,88.01,298,348,85.63,311,344,90.41,262,289,90.66,327,381,85.83,18,20,90.00,-1,-1,-1.00,-1,-1,-1.00,544,599,90.82,65,93,69.89,240,247,97.17,364,397,91.69,609,692,88.01,,,,598,681,87.81,11,11,100.00,11,16,68.75,598,676,88.46
DILLON 3,LATTA HIGH,1703019,H,86,103,83.50,42,52,80.77,44,51,86.27,55,65,84.62,29,35,82.86,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,84,95,88.42,-1,-1,-1.00,26,27,96.30,60,67,89.55,86,103,83.50,,,,86,103,83.50,,,,,,,86,103,83.50
DILLON 3,DISTRICT NO CHARTER,1703888,,86,103,83.50,42,52,80.77,44,51,86.27,55,65,84.62,29,35,82.86,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,84,95,88.42,-1,-1,-1.00,26,27,96.30,60,67,89.55,86,103,83.50,,,,86,103,83.50,,,,,,,86,103,83.50
DILLON 3,DISTRICT WITH CHARTER,1703999,,86,103,83.50,42,52,80.77,44,51,86.27,55,65,84.62,29,35,82.86,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,84,95,88.42,-1,-1,-1.00,26,27,96.30,60,67,89.55,86,103,83.50,,,,86,103,83.50,,,,,,,86,103,83.50
DILLON 4,LAKE VIEW HIGH,1704002,H,66,70,94.29,39,41,95.12,27,29,93.10,27,29,93.10,31,33,93.94,-1,-1,-1.00,-1,-1,-1.00,,,,65,67,97.01,-1,-1,-1.00,29,29,100.00,35,36,97.22,66,70,94.29,,,,64,68,94.12,-1,-1,-1.00,-1,-1,-1.00,64,68,94.12
DILLON 4,DILLON HIGH,1704005,H,189,213,88.73,82,97,84.54,107,116,92.24,45,54,83.33,127,139,91.37,10,11,90.91,-1,-1,-1.00,-1,-1,-1.00,186,203,91.63,3,10,30.00,48,49,97.96,139,146,95.21,189,213,88.73,,,,181,205,88.29,-1,-1,-1.00,,,,189,213,88.73
DILLON 4,DISTRICT NO CHARTER,1704888,,255,286,89.16,121,139,87.05,134,147,91.16,72,83,86.75,158,175,90.29,13,14,92.86,11,12,91.67,-1,-1,-1.00,251,272,92.28,4,14,28.57,77,78,98.72,174,183,95.08,255,286,89.16,,,,245,275,89.09,10,11,90.91,-1,-1,-1.00,253,284,89.08
DILLON 4,DISTRICT WITH CHARTER,1704999,,255,286,89.16,121,139,87.05,134,147,91.16,72,83,86.75,158,175,90.29,13,14,92.86,11,12,91.67,-1,-1,-1.00,251,272,92.28,4,14,28.57,77,78,98.72,174,183,95.08,255,286,89.16,,,,245,275,89.09,10,11,90.91,-1,-1,-1.00,253,284,89.08
DORCHESTER 2,SUMMERVILLE HIGH,1802006,H,652,776,84.02,308,389,79.18,344,387,88.89,412,486,84.77,187,226,82.74,37,45,82.22,-1,-1,-1.00,9,10,90.00,619,713,86.82,33,63,52.38,356,369,96.48,275,314,87.58,652,776,84.02,,,,641,761,84.23,11,15,73.33,11,19,57.89,641,757,84.68
DORCHESTER 2,FORT DORCHESTER HIGH,1802020,H,497,579,85.84,251,309,81.23,246,270,91.11,221,248,89.11,216,253,85.38,40,54,74.07,-1,-1,-1.00,18,22,81.82,471,536,87.87,26,43,60.47,299,322,92.86,187,220,85.00,497,579,85.84,,,,476,549,86.70,21,30,70.00,6,11,54.55,491,568,86.44
DORCHESTER 2,ASHLEY RIDGE HIGH,1802027,H,481,533,90.24,238,275,86.55,243,258,94.19,302,336,89.88,143,157,91.08,17,18,94.44,-1,-1,-1.00,13,15,86.67,460,492,93.50,21,41,51.22,296,300,98.67,172,193,89.12,481,533,90.24,,,,477,529,90.17,-1,-1,-1.00,-1,-1,-1.00,477,529,90.17
DORCHESTER 2,DISTRICT NO CHARTER,1802888,,1630,1895,86.02,797,978,81.49,833,917,90.84,935,1072,87.22,546,641,85.18,94,117,80.34,15,18,83.33,40,47,85.11,1550,1746,88.77,80,149,53.69,951,991,95.96,634,730,86.85,1630,1895,86.02,,,,1594,1846,86.35,36,49,73.47,21,35,60.00,1609,1860,86.51
DORCHESTER 2,DISTRICT WITH CHARTER,1802999,,1630,1895,86.02,797,978,81.49,833,917,90.84,935,1072,87.22,546,641,85.18,94,117,80.34,15,18,83.33,40,47,85.11,1550,1746,88.77,80,149,53.69,951,991,95.96,634,730,86.85,1630,1895,86.02,,,,1594,1846,86.35,36,49,73.47,21,35,60.00,1609,1860,86.51
DORCHESTER 4,WOODLAND HIGH,1804019,H,125,143,87.41,65,77,84.42,60,66,90.91,35,44,79.55,81,89,91.01,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,116,126,92.06,9,17,52.94,41,41,100.00,79,89,88.76,125,143,87.41,,,,122,139,87.77,-1,-1,-1.00,-1,-1,-1.00,119,137,86.86
DORCHESTER 4,DISTRICT NO CHARTER,1804888,,125,143,87.41,65,77,84.42,60,66,90.91,35,44,79.55,81,89,91.01,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,116,126,92.06,9,17,52.94,41,41,100.00,79,89,88.76,125,143,87.41,,,,122,139,87.77,-1,-1,-1.00,-1,-1,-1.00,119,137,86.86
DORCHESTER 4,DISTRICT WITH CHARTER,1804999,,125,143,87.41,65,77,84.42,60,66,90.91,35,44,79.55,81,89,91.01,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,116,126,92.06,9,17,52.94,41,41,100.00,79,89,88.76,125,143,87.41,,,,122,139,87.77,-1,-1,-1.00,-1,-1,-1.00,119,137,86.86
EDGEFIELD,STROM THURMOND HIGH,1901002,H,162,191,84.82,82,100,82.00,80,91,87.91,53,62,85.48,102,121,84.30,-1,-1,-1.00,,,,-1,-1,-1.00,145,160,90.63,17,31,54.84,72,75,96.00,86,100,86.00,162,191,84.82,,,,159,187,85.03,-1,-1,-1.00,-1,-1,-1.00,161,189,85.19
EDGEFIELD,DISTRICT NO CHARTER,1901888,,162,191,84.82,82,100,82.00,80,91,87.91,53,62,85.48,102,121,84.30,-1,-1,-1.00,,,,-1,-1,-1.00,145,160,90.63,17,31,54.84,72,75,96.00,86,100,86.00,162,191,84.82,,,,159,187,85.03,-1,-1,-1.00,-1,-1,-1.00,161,189,85.19
EDGEFIELD,DISTRICT WITH CHARTER,1901999,,162,191,84.82,82,100,82.00,80,91,87.91,53,62,85.48,102,121,84.30,-1,-1,-1.00,,,,-1,-1,-1.00,145,160,90.63,17,31,54.84,72,75,96.00,86,100,86.00,162,191,84.82,,,,159,187,85.03,-1,-1,-1.00,-1,-1,-1.00,161,189,85.19
FAIRFIELD,FAIRFIELD CENTRAL HIGH,2001013,H,171,188,90.96,75,83,90.36,96,105,91.43,20,23,86.96,148,162,91.36,-1,-1,-1.00,,,,,,,155,163,95.09,16,25,64.00,45,46,97.83,123,132,93.18,171,188,90.96,,,,169,186,90.86,-1,-1,-1.00,-1,-1,-1.00,167,183,91.26
FAIRFIELD,DISTRICT NO CHARTER,2001888,,171,188,90.96,75,83,90.36,96,105,91.43,20,23,86.96,148,162,91.36,-1,-1,-1.00,,,,,,,155,163,95.09,16,25,64.00,45,46,97.83,123,132,93.18,171,188,90.96,,,,169,186,90.86,-1,-1,-1.00,-1,-1,-1.00,167,183,91.26
FAIRFIELD,DISTRICT WITH CHARTER,2001999,,171,188,90.96,75,83,90.36,96,105,91.43,20,23,86.96,148,162,91.36,-1,-1,-1.00,,,,,,,155,163,95.09,16,25,64.00,45,46,97.83,123,132,93.18,171,188,90.96,,,,169,186,90.86,-1,-1,-1.00,-1,-1,-1.00,167,183,91.26
FLORENCE 1,SOUTH FLORENCE HIGH,2101004,H,330,408,80.88,161,210,76.67,169,198,85.35,167,190,87.89,151,203,74.38,7,10,70.00,,,,-1,-1,-1.00,299,334,89.52,31,74,41.89,143,150,95.33,167,213,78.40,330,408,80.88,,,,325,401,81.05,-1,-1,-1.00,7,11,63.64,323,397,81.36
FLORENCE 1,WILSON HIGH,2101006,H,242,290,83.45,109,138,78.99,133,152,87.50,65,77,84.42,152,187,81.28,-1,-1,-1.00,-1,-1,-1.00,17,17,100.00,225,246,91.46,17,44,38.64,105,106,99.06,122,155,78.71,242,290,83.45,,,,235,283,83.04,-1,-1,-1.00,7,14,50.00,235,276,85.14
